level : error:Aug-10-2023 17:52:31 : 	Error Cannot read properties of null (reading 'populate')
level : error:Aug-10-2023 17:54:43 : 	Error Cannot read properties of null (reading 'find')
level : error:Aug-10-2023 17:55:18 : 	Error Cannot read properties of null (reading 'find')
level : info:Aug-14-2023 18:43:48 : 	Employee data found successfully
level : info:Aug-14-2023 18:45:40 : 	Employee data found successfully
level : info:Aug-14-2023 18:47:06 : 	Employee data found successfully
level : info:Aug-14-2023 18:47:32 : 	Employee data found successfully
level : info:Aug-15-2023 11:32:38 : 	Employee data found successfully
level : info:Aug-15-2023 11:33:03 : 	Employee data found successfully
